id;id_doi;status;count
814;83;Student  > Ph. D. Student;31
815;83;Professor > Associate Professor;11
816;84;Lecturer;2
817;84;Student  > Doctoral Student;6
818;84;Researcher;9
819;84;Professor;4
820;84;Lecturer > Senior Lecturer;1
821;84;Student  > Postgraduate;3
822;84;Unspecified;9
823;84;Student  > Master;9
824;84;Student  > Bachelor;4
825;84;Other;3
826;84;Student  > Ph. D. Student;37
827;84;Librarian;1
828;84;Professor > Associate Professor;10
829;85;Lecturer;9
830;85;Student  > Doctoral Student;27
831;85;Researcher;14
832;85;Professor;6
833;85;Student  > Postgraduate;3
834;85;Unspecified;19
835;85;Student  > Master;31
836;85;Student  > Bachelor;4
837;85;Other;3
838;85;Student  > Ph. D. Student;65
839;85;Professor > Associate Professor;8
840;86;Lecturer;6
841;86;Student  > Doctoral Student;23
842;86;Researcher;11
843;86;Professor;9
844;86;Lecturer > Senior Lecturer;5
845;86;Student  > Postgraduate;3
846;86;Unspecified;10
847;86;Student  > Master;12
848;86;Student  > Bachelor;3
849;86;Other;1
850;86;Student  > Ph. D. Student;79
851;86;Librarian;1
852;86;Professor > Associate Professor;18
853;87;Lecturer;2
854;87;Student  > Doctoral Student;1
855;87;Researcher;3
856;87;Professor;2
857;87;Student  > Master;1
858;87;Student  > Bachelor;2
859;87;Student  > Ph. D. Student;6
860;87;Professor > Associate Professor;3
861;88;Lecturer;1
862;88;Student  > Doctoral Student;1
863;88;Student  > Ph. D. Student;1
864;89;Lecturer;2
865;89;Student  > Doctoral Student;12
866;89;Researcher;10
867;89;Professor;5
868;89;Lecturer > Senior Lecturer;1
869;89;Student  > Postgraduate;1
870;89;Unspecified;6
871;89;Student  > Master;12
872;89;Student  > Bachelor;1
873;89;Other;1
874;89;Student  > Ph. D. Student;19
875;89;Professor > Associate Professor;8
876;90;Lecturer;3
877;90;Student  > Doctoral Student;4
878;90;Researcher;3
879;90;Professor;1
880;90;Lecturer > Senior Lecturer;1
881;90;Unspecified;4
882;90;Student  > Master;5
883;90;Student  > Bachelor;2
884;90;Other;4
885;90;Student  > Ph. D. Student;25
886;90;Professor > Associate Professor;1
887;91;Lecturer;3
888;91;Student  > Doctoral Student;6
889;91;Researcher;6
890;91;Professor;5
891;91;Student  > Postgraduate;2
892;91;Unspecified;8
893;91;Student  > Master;9
894;91;Student  > Bachelor;2
895;91;Student  > Ph. D. Student;34
896;91;Professor > Associate Professor;8
897;92;Lecturer;4
898;92;Student  > Doctoral Student;7
899;92;Researcher;2
900;92;Professor;5
901;92;Lecturer > Senior Lecturer;2
902;92;Student  > Postgraduate;1
903;92;Unspecified;3
904;92;Student  > Master;5
905;92;Student  > Bachelor;6
906;92;Student  > Ph. D. Student;30
907;92;Professor > Associate Professor;6
908;93;Professor > Associate Professor;1
909;93;Student  > Doctoral Student;1
910;93;Student  > Ph. D. Student;1
911;94;Lecturer;3
912;94;Student  > Doctoral Student;6
913;94;Researcher;2
914;94;Professor;2
915;94;Student  > Postgraduate;1
916;94;Unspecified;4
917;94;Student  > Master;2
918;94;Student  > Bachelor;4
919;94;Other;2
920;94;Student  > Ph. D. Student;20
921;94;Professor > Associate Professor;5
922;95;Student  > Master;1
923;95;Professor > Associate Professor;2
924;95;Student  > Doctoral Student;1
925;96;Lecturer;5
926;96;Student  > Doctoral Student;16
927;96;Researcher;16
928;96;Professor;17
929;96;Lecturer > Senior Lecturer;2
930;96;Student  > Postgraduate;1
931;96;Unspecified;9
932;96;Student  > Master;7
933;96;Student  > Bachelor;1
934;96;Other;2
935;96;Student  > Ph. D. Student;60
936;96;Professor > Associate Professor;11
937;97;Lecturer;3
938;97;Student  > Doctoral Student;13
939;97;Researcher;6
940;97;Professor;6
941;97;Lecturer > Senior Lecturer;2
942;97;Unspecified;12
943;97;Student  > Master;14
944;97;Student  > Bachelor;2
945;97;Other;3
946;97;Student  > Ph. D. Student;48
947;97;Professor > Associate Professor;14
948;98;Lecturer;4
949;98;Student  > Doctoral Student;19
950;98;Researcher;12
951;98;Professor;3
952;98;Lecturer > Senior Lecturer;2
953;98;Student  > Postgraduate;2
954;98;Unspecified;7
955;98;Student  > Master;13
956;98;Student  > Bachelor;3
957;98;Student  > Ph. D. Student;81
958;98;Librarian;1
959;98;Professor > Associate Professor;12
960;99;Lecturer;1
961;99;Student  > Doctoral Student;9
962;99;Researcher;8
963;99;Professor;2
964;99;Lecturer > Senior Lecturer;1
965;99;Student  > Postgraduate;2
966;99;Unspecified;4
967;99;Student  > Master;12
968;99;Student  > Bachelor;1
969;99;Student  > Ph. D. Student;31
970;99;Professor > Associate Professor;4
971;100;Lecturer;15
972;100;Student  > Doctoral Student;39
973;100;Researcher;36
974;100;Professor;25
975;100;Lecturer > Senior Lecturer;4
976;100;Student  > Postgraduate;8
977;100;Unspecified;13
978;100;Student  > Master;66
979;100;Student  > Bachelor;19
980;100;Other;11
981;100;Student  > Ph. D. Student;100
982;100;Professor > Associate Professor;28
983;101;Student  > Master;1
984;101;Student  > Ph. D. Student;2
985;102;Lecturer;5
986;102;Student  > Doctoral Student;15
987;102;Researcher;10
988;102;Professor;11
989;102;Lecturer > Senior Lecturer;1
990;102;Student  > Postgraduate;5
991;102;Unspecified;6
992;102;Student  > Master;25
993;102;Student  > Bachelor;9
994;102;Student  > Ph. D. Student;34
995;102;Librarian;1
996;102;Professor > Associate Professor;12
997;103;Lecturer;1
998;103;Student  > Doctoral Student;5
999;103;Researcher;1
1000;103;Professor;2
1001;103;Student  > Postgraduate;1
