RePEc:mul:jkrece;2017;9;0.08;0.03;68;1;ReDIF-Article;1122-7885;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:mul:jyf1hn;2017;1;0.01;null;38;1;ReDIF-Article;1121-4228;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:nmp:rfaces;2017;2;0.05;0.04;10;1;ReDIF-Article;0328-4050;1852-6535;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ovi:oviste;2017;17;0.01;0.01;239;4;ReDIF-Article;1582-9383;2344-4614;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:pch:abante;2017;;null;null;0;7;ReDIF-Article;0717-344X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:pop:journl;2017;;null;null;16;;ReDIF-Article;2537-3803;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:por:emrpij;2017;;null;null;0;1;ReDIF-Article;2184-0309;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:por:smescs;2017;;null;null;0;;ReDIF-Article;2182-0503;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:prg:jnleam;2017;2;null;0.01;0;3;ReDIF-Article;1802-8470;1802-8934;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:prg:jnlrst;2017;;null;null;0;2;ReDIF-Article;1803-1471;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:prg:jnlsev;2017;;null;null;6;2;ReDIF-Article;1804-1280;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rau:clieui;2017;;null;null;0;1;ReDIF-Article;2065-5495;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rau:jisomg;2017;;null;null;0;1;ReDIF-Article;1843-4711;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rau:jurtct;2017;;null;null;0;;ReDIF-Article;1844-9742;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rau:rseijr;2017;;null;null;8;1;ReDIF-Article;2360-387X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rba:rbabul;2017;44;0.18;0.27;37;7;ReDIF-Article;0725-0320;1837-7211;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rdc:journl;2017;16;0.15;0.14;17;6;ReDIF-Article;2069-0134;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ret:ecocri;2017;3;0.02;0.02;18;2;ReDIF-Article;2013-5254;1696-0866;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rib:revibe;2017;4;null;0.14;0;3;ReDIF-Article;1390-2776;2385-4650;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:rmm:journl;2017;1;null;0.02;0;2;ReDIF-Article;1869-778X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ron:journl;2017;;null;null;0;1;ReDIF-Article;2066-2556;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
